time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
4.1,1.88,-0.82,99.4,0.84,0.11,0.3,AVOID
9.8,1.97,-1.06,98.9,2.44,0.74,0.6,AVOID
16.3,1.97,-1.43,98.4,3.97,2.18,0.6,AVOID
22.1,1.93,-1.77,97.9,5.61,3.51,0.8,AVOID
27.7,1.78,-1.97,97.4,7.47,3.80,0.8,AVOID
34.2,1.47,-1.91,96.9,8.66,5.13,0.8,AVOID
43.7,1.19,-1.88,96.1,9.67,6.23,0.8,CLEAN
49.7,0.90,-1.87,95.6,10.82,7.42,0.8,AVOID
55.8,0.59,-1.87,95.1,11.85,8.63,0.8,AVOID
62.4,0.27,-1.88,94.6,13.24,10.05,0.8,AVOID
68.4,-0.05,-1.88,94.1,14.56,11.26,0.8,AVOID
74.2,-0.33,-1.87,93.6,15.46,12.38,0.8,CLEAN
80.7,-0.82,-1.88,93.0,17.47,14.42,0.8,CLEAN
86.8,-1.30,-1.89,92.5,19.58,16.27,0.8,AVOID
92.8,-1.72,-1.87,92.0,21.09,17.82,0.8,AVOID
98.6,-1.95,-1.57,91.5,23.84,19.22,0.8,CLEAN
104.9,-1.46,-1.30,91.0,26.84,20.93,1.4,CLEAN
110.2,-0.98,-1.40,90.6,28.60,22.88,2.2,CLEAN
116.2,-0.35,-1.49,90.1,31.29,25.58,3.3,CLEAN
122.6,0.29,-1.53,89.6,34.11,28.43,4.2,CLEAN
129.5,1.42,-1.29,89.0,37.71,31.94,6.1,CLEAN
136.8,1.59,-1.33,88.3,38.16,33.95,7.2,CLEAN
143.0,1.11,-1.47,87.8,38.95,34.48,7.8,CLEAN
149.4,1.09,-1.15,87.3,39.53,35.92,8.6,CLEAN
155.6,0.42,-1.31,86.8,40.58,38.08,9.4,CLEAN
162.0,0.03,-0.88,86.3,43.28,40.15,10.2,CLEAN
168.9,-0.44,-1.28,85.7,44.62,42.39,11.4,CLEAN
175.1,-1.08,-1.24,85.2,46.94,43.88,12.7,CLEAN
181.4,-1.57,-1.50,84.7,49.35,45.70,13.3,CLEAN
188.2,-1.91,-0.72,84.1,51.67,48.71,13.6,CLEAN
195.0,-1.89,0.08,83.5,53.34,51.42,13.6,CLEAN
201.3,-1.35,0.05,83.0,54.90,53.16,15.0,CLEAN
207.7,-1.58,0.17,82.4,55.03,52.88,15.2,CLEAN
214.6,-1.44,0.28,81.9,52.43,50.66,15.2,CLEAN
221.6,-1.67,0.05,81.3,52.96,50.83,15.2,CLEAN
228.1,-2.00,0.43,80.8,54.87,52.66,15.2,CLEAN
234.7,-1.85,1.40,80.2,56.92,56.01,15.2,CLEAN
241.7,-1.76,0.96,79.6,58.83,56.84,16.3,CLEAN
248.3,-1.40,-0.09,79.1,59.73,57.62,17.7,CLEAN
255.2,-1.01,-0.89,78.5,60.12,57.94,19.4,CLEAN
262.2,-1.07,-0.52,77.9,59.80,57.25,20.2,CLEAN
269.9,-1.07,-0.77,77.3,60.02,57.06,20.2,CLEAN
276.8,-0.93,-0.26,76.7,59.32,56.51,21.6,CLEAN
282.8,-1.36,-0.43,76.2,60.77,57.12,21.6,CLEAN
289.1,-1.44,-0.79,75.7,60.33,56.70,22.2,CLEAN
296.1,-1.54,-0.90,75.1,59.16,57.10,22.4,CLEAN
303.7,-0.37,-0.78,74.5,59.88,56.26,23.5,CLEAN
311.5,-0.28,-0.82,73.8,59.25,53.59,23.5,CLEAN
319.4,-0.23,-1.00,73.2,58.27,52.35,23.5,CLEAN
327.3,-0.23,-1.40,72.5,56.98,49.50,23.8,CLEAN
334.9,-0.35,-1.51,71.8,58.61,48.64,24.1,CLEAN
341.8,-0.05,-2.04,71.3,60.73,50.06,24.7,AVOID
349.5,-0.18,-1.97,70.7,62.71,49.41,24.7,CLEAN
354.8,-0.02,-1.67,70.2,64.27,50.67,24.7,CLEAN
361.8,0.17,-1.29,69.6,65.82,52.51,25.2,CLEAN
368.8,0.43,-0.92,69.0,68.03,53.81,25.5,CLEAN
378.3,0.99,-1.07,68.3,70.08,56.04,26.0,CLEAN
385.7,1.64,-1.09,67.6,72.26,58.73,26.6,CLEAN
391.8,1.95,-0.84,67.1,72.79,61.04,26.6,CLEAN
398.6,1.22,-0.59,66.5,75.54,64.24,27.7,CLEAN
406.7,0.71,-0.59,65.8,77.48,66.30,28.5,CLEAN
412.9,0.08,-0.62,65.3,79.83,68.67,29.4,CLEAN
419.2,-0.62,-0.65,64.8,82.80,71.61,30.5,CLEAN
426.1,-1.37,-0.66,64.3,84.19,72.96,30.7,CLEAN
432.9,-1.95,-0.34,63.7,86.71,74.93,31.3,AVOID
440.0,-1.61,-0.11,63.1,90.16,76.08,31.9,CLEAN
447.4,-1.66,0.08,62.5,90.90,76.40,32.1,CLEAN
454.2,-1.41,0.43,61.9,92.46,77.29,32.4,CLEAN
461.6,-1.28,-0.21,61.3,94.49,78.95,32.4,CLEAN
467.8,-0.95,-0.37,60.8,95.79,80.90,32.4,CLEAN
477.1,-0.56,-0.41,60.0,97.25,82.56,33.0,CLEAN
485.2,-0.16,-0.40,59.3,98.84,84.22,33.5,CLEAN
491.5,0.38,-0.37,58.8,101.01,86.39,34.3,CLEAN
497.8,1.01,-0.35,58.3,102.36,87.68,35.2,CLEAN
505.5,1.69,-0.35,57.7,101.52,86.29,36.3,CLEAN
513.6,1.69,-0.65,57.0,98.77,82.40,36.6,CLEAN
521.3,1.45,-0.69,56.3,98.65,80.12,36.6,CLEAN
528.2,1.30,-0.88,55.8,97.88,80.91,36.8,CLEAN
535.0,0.99,-0.85,55.2,97.41,82.42,37.4,CLEAN
540.6,0.62,-0.65,54.8,100.07,83.86,38.0,CLEAN
548.1,0.67,0.04,54.1,103.35,86.06,38.5,CLEAN
555.2,1.31,0.09,53.5,106.19,88.52,39.6,CLEAN
562.5,1.64,-0.17,52.9,109.10,89.38,40.4,CLEAN
569.1,1.34,0.05,52.3,110.53,91.08,40.7,CLEAN
576.4,0.74,-0.12,51.7,112.04,93.29,41.3,CLEAN
583.4,0.30,0.24,51.2,113.80,95.87,42.1,CLEAN
589.9,0.05,-0.13,50.6,114.70,97.87,43.5,CLEAN
597.0,-0.19,-0.43,50.0,117.74,98.72,43.5,CLEAN
603.3,-0.62,-0.24,49.5,119.31,98.99,43.8,CLEAN
610.5,-1.23,-0.14,48.9,120.72,102.23,44.3,CLEAN
617.7,-1.75,0.21,48.3,121.62,105.56,44.3,CLEAN
623.9,-1.55,0.75,47.8,125.38,107.48,44.6,CLEAN
631.1,-1.17,0.29,47.2,129.13,109.39,46.5,CLEAN
637.3,-1.22,0.15,46.7,129.19,111.40,46.8,CLEAN
643.4,-0.74,-0.01,46.2,130.71,113.98,46.8,CLEAN
649.9,-0.10,0.11,45.6,132.83,116.15,47.4,CLEAN
655.9,0.40,-0.04,45.1,134.44,118.38,47.6,CLEAN
662.6,1.06,0.16,44.6,137.68,121.67,47.6,CLEAN
669.4,1.92,0.35,44.0,140.16,125.93,48.5,CLEAN
676.3,1.33,0.59,43.4,142.11,128.50,49.6,CLEAN
682.7,0.30,0.56,42.9,146.19,132.58,51.0,CLEAN
689.9,-0.98,0.55,42.3,150.77,137.12,52.4,CLEAN
696.2,-1.84,0.63,41.8,154.71,139.69,52.4,AVOID
702.6,-1.88,1.24,41.3,157.69,141.45,52.4,CLEAN
709.3,-1.31,1.30,40.7,161.34,143.38,52.6,CLEAN
716.3,-1.40,0.94,40.1,162.73,145.83,53.7,CLEAN
723.1,-1.09,0.39,39.5,164.51,149.57,53.7,CLEAN
730.1,-0.71,0.97,38.9,166.26,153.48,54.6,CLEAN
737.6,-1.23,0.54,38.3,169.76,154.79,55.1,CLEAN
744.8,-0.67,0.69,37.7,171.95,158.82,55.4,CLEAN
751.0,-0.19,0.87,37.2,174.06,160.16,56.2,CLEAN
757.0,0.52,0.74,36.7,176.73,163.36,56.8,CLEAN
763.4,1.32,0.80,36.2,179.93,166.53,57.6,CLEAN
770.3,1.78,0.94,35.6,181.00,169.14,58.4,CLEAN
777.4,1.06,1.05,35.0,183.40,171.72,59.3,CLEAN
784.1,0.10,1.27,34.4,186.90,175.95,60.7,CLEAN
790.6,-0.86,1.20,33.9,190.55,179.62,62.0,CLEAN
796.6,-1.65,1.16,33.3,194.00,182.92,62.3,CLEAN
802.6,-1.97,1.53,32.9,197.08,184.11,62.3,AVOID
809.9,-1.71,1.52,32.2,199.16,185.64,63.2,CLEAN
816.8,-1.13,1.51,31.7,201.12,188.19,63.7,CLEAN
823.0,-0.55,1.51,31.2,203.37,190.22,64.8,CLEAN
829.6,-0.03,1.36,30.7,204.93,192.24,65.7,CLEAN
836.5,0.67,1.50,30.1,208.07,194.84,67.0,CLEAN
844.0,1.23,0.53,29.4,212.64,198.81,67.6,TRACK
851.0,1.56,-0.25,28.8,216.06,202.23,67.9,TRACK
